seed,family,policy,layer,collision,bufferViolation,minGap,stopTime,stopped,brakeTime,finalSpeed
27259,dust,no-speed-cap,extended-model,false,false,7.174284488991475,10.100000000000009,true,6.0499999999999865,0
27259,dust,no-brake-bound,nominal-model,false,false,8.214203959741724,15.900000000000091,true,13.800000000000061,0
27259,dust,no-brake-bound,extended-model,false,false,8.357277742780752,15.900000000000091,true,13.850000000000062,0
27260,dust,baseline,nominal-model,false,false,8.03807210308014,14.800000000000075,true,9.900000000000006,0
27260,dust,baseline,extended-model,true,true,-0.0950824561212471,13.550000000000058,false,11.150000000000023,6.5927334903988175
27260,dust,guarded,nominal-model,false,false,19.323281684136248,22.700000000000188,true,20.250000000000153,0
27260,dust,guarded,extended-model,false,false,18.79253977639138,22.90000000000019,true,20.200000000000152,0
27260,dust,no-speed-cap,nominal-model,false,false,53.67256337087349,11.000000000000021,true,6.099999999999986,0
27260,dust,no-speed-cap,extended-model,true,true,-0.0950824561212471,13.550000000000058,false,11.150000000000023,6.5927334903988175
27260,dust,no-brake-bound,nominal-model,false,false,8.223281684208132,24.550000000000214,true,22.10000000000018,0
27260,dust,no-brake-bound,extended-model,false,false,7.3925397764852505,24.800000000000217,true,22.10000000000018,0
27261,dust,baseline,nominal-model,false,false,8.196566352152672,16.4500000000001,true,12.100000000000037,0
27261,dust,baseline,extended-model,true,true,-0.28262514287308704,15.200000000000081,false,13.70000000000006,8.111167148570583
27261,dust,guarded,nominal-model,false,false,15.760628189136014,26.50000000000024,true,24.30000000000021,0
27261,dust,guarded,extended-model,false,false,15.268329071667267,26.650000000000244,true,24.30000000000021,0
27261,dust,no-speed-cap,nominal-model,false,false,38.19862510703001,13.950000000000063,true,9.600000000000001,0
27261,dust,no-speed-cap,extended-model,true,true,-0.28262514287308704,15.200000000000081,false,13.70000000000006,8.111167148570583
27261,dust,no-brake-bound,nominal-model,false,false,8.260628189135957,27.75000000000026,true,25.550000000000228,0
27261,dust,no-brake-bound,extended-model,false,false,7.768329071667267,27.90000000000026,true,25.550000000000228,0
27262,dust,baseline,nominal-model,false,false,8.269572327719573,10.700000000000017,true,6.0499999999999865,0
27262,dust,baseline,extended-model,true,true,-0.2651767941047183,9.099999999999994,false,8.549999999999986,10.510591755281299
27262,dust,guarded,nominal-model,false,false,17.582435136098695,14.950000000000077,true,12.600000000000044,0
27262,dust,guarded,extended-model,false,false,12.194389580155246,15.80000000000009,true,13.550000000000058,0
27262,dust,no-speed-cap,nominal-model,false,false,43.41478181343575,7.7499999999999805,true,3.2499999999999964,0
27262,dust,no-speed-cap,extended-model,true,true,-0.2651767941047183,9.099999999999994,false,8.549999999999986,10.510591755281299
27262,dust,no-brake-bound,nominal-model,false,false,8.282435840611015,16.5000000000001,true,14.150000000000066,0
27262,dust,no-brake-bound,extended-model,false,false,8.294389710139512,16.4500000000001,true,14.200000000000067,0
27263,dust,baseline,nominal-model,false,false,8.177387709538777,13.300000000000054,true,8.499999999999986,0
27263,dust,baseline,extended-model,true,true,-0.3109778664323244,11.900000000000034,false,10.15000000000001,7.8733844586282355
27263,dust,guarded,nominal-model,false,false,18.87974282082382,20.10000000000015,true,17.700000000000117,0
27263,dust,guarded,extended-model,false,false,18.465547427779313,20.200000000000152,true,17.650000000000116,0
27263,dust,no-speed-cap,nominal-model,false,false,50.78855379733915,9.750000000000004,true,4.94999999999999,0
27263,dust,no-speed-cap,extended-model,true,true,-0.3109778664323244,11.900000000000034,false,10.15000000000001,7.8733844586282355
27263,dust,no-brake-bound,nominal-model,false,false,8.079742824453945,21.900000000000176,true,19.500000000000142,0
27263,dust,no-brake-bound,extended-model,false,false,7.6655474324225,22.000000000000178,true,19.45000000000014,0
27264,dust,baseline,nominal-model,false,false,8.405559502962035,12.050000000000036,true,7.149999999999983,0
27264,dust,baseline,extended-model,true,true,-0.2917619485440923,10.500000000000014,false,9.149999999999995,8.780321641827967
27264,dust,guarded,nominal-model,false,false,19.552799260216545,17.050000000000107,true,14.600000000000072,0
